DateTime, Temperature, Humidity, Heating 1, Heating 2, Fan 1 Speed, Fan 2 Speed, Target Temperature
2016-04-17 21:46:21.390517,19.4847290039,54.1811627197,1,1,20,10,23
2016-04-17 21:46:32.518378,19.4847290039,53.9293927002,1,1,20,10,23
2016-04-17 21:46:43.646341,19.4847290039,54.0362042236,1,1,20,10,23
2016-04-17 21:46:54.774193,19.5061791992,53.3832938232,1,1,20,10,23
2016-04-17 21:47:05.902055,19.5061791992,54.4437796631,1,1,20,10,23
2016-04-17 21:47:17.029894,19.5169042969,53.9723659668,1,1,20,10,23
2016-04-17 21:47:28.157755,19.5276293945,53.9434571533,1,1,20,10,23
2016-04-17 21:47:39.285641,19.5276293945,54.1494508057,1,1,20,10,23
2016-04-17 21:47:50.413455,19.5490795898,53.5575755615,1,1,20,10,23
2016-04-17 21:48:01.541382,19.5705297852,53.6523458252,1,1,20,10,23
2016-04-17 21:48:12.669172,19.5812548828,54.1040888672,1,1,20,10,23
2016-04-17 21:48:23.797114,19.5812548828,53.9515009766,1,1,20,10,23
2016-04-17 21:48:34.924952,19.5705297852,54.4839498291,1,1,20,10,23
2016-04-17 21:48:46.052840,19.5598046875,54.3068649902,1,1,20,10,23
2016-04-17 21:48:57.180705,19.5812548828,53.9667597656,1,1,20,10,23
2016-04-17 21:49:08.308575,19.5812548828,54.3940058594,1,1,20,10,23
2016-04-17 21:49:19.436522,19.6134301758,53.6816690674,1,1,20,10,23
2016-04-17 21:49:30.564317,19.5919799805,54.395614624,1,1,20,10,23
2016-04-17 21:49:41.692193,19.6134301758,54.2309854736,1,1,20,10,23
2016-04-17 21:49:52.820064,19.6027050781,53.9165715332,1,1,20,10,23
2016-04-17 21:50:03.947872,19.6348803711,54.3486439209,1,1,20,10,23
2016-04-17 21:50:15.075736,19.6670556641,53.4532016602,1,1,20,10,23
2016-04-17 21:50:26.203614,19.6670556641,54.2237705078,1,1,20,10,23
2016-04-17 21:50:37.331438,19.6670556641,54.0788120117,1,1,20,10,23
2016-04-17 21:50:48.459342,19.6670556641,53.9338535156,1,1,20,10,23
2016-04-17 21:50:59.587190,19.6885058594,53.9904768066,1,1,20,10,23
2016-04-17 21:51:10.715105,19.6777807617,54.2482674561,1,1,20,10,23
2016-04-17 21:51:21.843027,19.6777807617,53.874427124,1,1,20,10,23
2016-04-17 21:51:32.970864,19.6777807617,53.7905037842,1,1,20,10,23
2016-04-17 21:51:44.098726,19.7206811523,53.7053861084,1,1,20,10,23
2016-04-17 21:51:55.226645,19.7528564453,53.260078125,1,1,20,10,23
2016-04-17 21:52:06.354499,19.7743066406,53.4692893066,1,1,20,10,23
2016-04-17 21:52:17.482318,19.7957568359,53.3351777344,1,1,20,10,23
2016-04-17 21:52:28.610328,19.7743066406,54.4611105957,1,1,20,10,23
2016-04-17 21:52:39.738463,19.7421313477,54.3952491455,1,1,20,10,23
2016-04-17 21:52:50.866360,19.7421313477,54.029038208,1,1,20,10,23
2016-04-17 21:53:01.993476,19.73140625,54.4088991699,1,1,20,10,23
2016-04-17 21:53:13.121376,19.7421313477,53.5483863525,1,1,20,10,23
2016-04-17 21:53:24.249306,19.7528564453,53.862800293,1,1,20,10,23
2016-04-17 21:53:35.377115,19.7421313477,54.4791724854,1,1,20,10,23
2016-04-17 21:53:46.505059,19.73140625,54.6148928223,1,1,20,10,23
2016-04-17 21:53:57.633004,19.7743066406,53.6981711426,1,1,20,10,23
2016-04-17 21:54:08.760810,19.763581543,54.6960130615,1,1,20,10,23
2016-04-17 21:54:19.888644,19.7850317383,53.9591793213,1,1,20,10,23
2016-04-17 21:54:31.016507,19.8064819336,54.0234320068,1,1,20,10,23
2016-04-17 21:54:42.144358,19.7957568359,54.5635102539,1,1,20,10,23
2016-04-17 21:54:53.272181,19.7957568359,53.7547944336,1,1,20,10,23
2016-04-17 21:55:04.400011,19.8172070312,53.788529541,1,1,20,10,23
2016-04-17 21:55:15.527833,19.8064819336,54.053949585,1,1,20,10,23
2016-04-17 21:55:26.655745,19.8601074219,53.6652648926,1,1,20,10,23
2016-04-17 21:55:37.783588,19.8708325195,53.6516148682,1,1,20,10,23
2016-04-17 21:55:48.911398,19.9030078125,53.4885944824,1,1,20,10,23
2016-04-17 21:56:00.039307,19.9137329102,54.0318902588,1,1,20,10,23
2016-04-17 21:56:11.167176,19.9351831055,53.6078616943,1,1,20,10,23
2016-04-17 21:56:22.295109,19.9459082031,53.2966652832,1,1,20,10,23
2016-04-17 21:56:33.422951,19.9244580078,54.2242338867,1,1,20,10,23
2016-04-17 21:56:44.550815,19.9244580078,53.8275053711,1,1,20,10,23
2016-04-17 21:56:55.678612,19.9459082031,53.7010231934,1,1,20,10,23
2016-04-17 21:57:06.806531,19.9673583984,53.5058764648,1,1,20,10,23
2016-04-17 21:57:17.934345,19.9673583984,53.4066943359,1,1,20,10,23
2016-04-17 21:57:29.062194,19.9995336914,53.4115206299,1,1,20,10,23
2016-04-17 21:57:40.190053,19.9888085938,53.9134519043,1,1,20,10,23
2016-04-17 21:57:51.317884,19.9888085938,53.5396115723,1,1,20,10,23
2016-04-17 21:58:02.445827,19.9995336914,53.4038912354,1,1,20,10,23
2016-04-17 21:58:13.573637,20.0317089844,53.3247941895,1,1,20,10,23
2016-04-17 21:58:24.701505,20.0209838867,54.1929364014,1,1,20,10,23
2016-04-17 21:58:35.829389,20.074609375,52.9955358887,1,1,20,10,23
2016-04-17 21:58:46.957238,20.0638842773,53.4059144287,1,1,20,10,23
2016-04-17 21:58:58.085303,20.0960595703,52.9453476563,1,1,20,10,23
2016-04-17 21:59:09.213162,20.0853344727,53.6837901611,1,1,20,10,23
2016-04-17 21:59:20.340999,20.0960595703,53.5938461914,1,1,20,10,23
2016-04-17 21:59:31.468825,20.0960595703,53.4565170898,1,1,20,10,23
2016-04-17 21:59:42.596792,20.106784668,53.7633016357,1,1,20,10,23
2016-04-17 21:59:53.724710,20.0960595703,54.234715332,1,1,20,10,23
2016-04-17 22:00:04.852652,20.0960595703,53.731175293,1,1,20,10,23
2016-04-17 22:00:15.980475,20.0638842773,53.7568665771,1,1,20,10,23
2016-04-17 22:00:27.108342,20.0853344727,53.8287486572,1,1,20,10,23
2016-04-17 22:00:38.236238,20.0638842773,53.6271668701,1,1,20,10,23
2016-04-17 22:00:49.364096,20.0638842773,53.8865662842,1,1,20,10,23
2016-04-17 22:01:00.486993,20.074609375,53.1939001465,1,1,20,10,23
2016-04-17 22:01:11.614915,20.106784668,53.1910970459,1,1,20,10,23
2016-04-17 22:01:22.742828,20.1282348633,53.5986724854,1,1,20,10,23
2016-04-17 22:01:33.870637,20.1282348633,53.6749664307,1,1,20,10,23
2016-04-17 22:01:44.998491,20.1175097656,53.8946101074,1,1,20,10,23
2016-04-17 22:01:56.126398,20.1175097656,54.1311213379,1,1,20,10,23
2016-04-17 22:02:07.254197,20.106784668,54.4880941162,1,1,20,10,23
2016-04-17 22:02:18.382079,20.106784668,54.0074422607,1,1,20,10,23
2016-04-17 22:02:29.510123,20.0960595703,53.7845810547,1,1,20,10,23
2016-04-17 22:02:40.638235,20.1282348633,53.5834136963,1,1,20,10,23
2016-04-17 22:02:51.766169,20.1604101563,53.1915114746,1,1,20,10,23
2016-04-17 22:03:02.894032,20.1925854492,53.5167723389,1,1,20,10,23
2016-04-17 22:03:14.021848,20.1818603516,53.7669335937,1,1,20,10,23
2016-04-17 22:03:25.149453,20.1925854492,53.4023314209,1,1,20,10,23
2016-04-17 22:03:36.277258,20.1925854492,53.6388426514,1,1,20,10,23
2016-04-17 22:03:47.405176,20.2140356445,53.7030953369,1,1,20,10,23
2016-04-17 22:03:58.533041,20.2033105469,53.8922214355,1,1,20,10,23
2016-04-17 22:04:09.660836,20.2247607422,53.1782758789,1,1,20,10,23
2016-04-17 22:04:20.788713,20.2247607422,53.3766401367,1,1,20,10,23
2016-04-17 22:04:31.916609,20.2354858398,53.5460955811,1,1,20,10,23
2016-04-17 22:04:43.044571,20.2354858398,53.8970477295,1,1,20,10,23
2016-04-17 22:04:54.172485,20.2354858398,53.3858782959,1,1,20,10,23
2016-04-17 22:05:05.300353,20.2247607422,53.6284101562,1,1,20,10,23
2016-04-17 22:05:16.428239,20.2354858398,53.5460955811,1,1,20,10,23
2016-04-17 22:05:27.556109,20.2462109375,53.7842155762,1,1,20,10,23
2016-04-17 22:05:38.683950,20.2783862305,53.8348182373,1,1,20,10,23
